척도,문항,문항내용,도메인패널,조건 선택,평균,표준편차,표본수,값범위최소,값범위최대
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,토마토 수확,C1: All,2.63636,1.62928,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,토마토 수확,C2: No,2.27273,1.61808,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,토마토 수확,C3: Ours1,2.27273,1.42063,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,토마토 수확,C4: Ours2,2.45455,1.36848,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,토마토 수확,C5: KnowNo,2,1.18322,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,분리수거,C1: All,1.90909,1.13618,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,분리수거,C2: No,2.18182,1.25045,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,분리수거,C3: Ours1,2.36364,1.50151,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,분리수거,C4: Ours2,2.27273,1.27208,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,분리수거,C5: KnowNo,3.18182,1.72152,11,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,통합,C1: All,2.27273,1.42032,22,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,통합,C2: No,2.22727,1.41192,22,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,통합,C3: Ours1,2.31818,1.42716,22,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,통합,C4: Ours2,2.36364,1.29267,22,0,7
Survey,N1,N1. 해당 과업은 얼마나 정신적으로 부담스러웠습니까?,통합,C5: KnowNo,2.59091,1.56324,22,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,토마토 수확,C1: All,1.45455,1.21356,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,토마토 수확,C2: No,1.27273,0.64667,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,토마토 수확,C3: Ours1,1.36364,0.924416,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,토마토 수확,C4: Ours2,1.27273,0.64667,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,토마토 수확,C5: KnowNo,1.27273,0.64667,11,0,7
Survey,N2,N2. 해당 과업은 얼마나 신체적으로 부담스러웠습니까?,분리수거,C1: All,1.54545,1.21356,11,0,7
