domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,01,1025671343,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152229_096801.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034112_403009.txt,1,1,4.0,-2.0,-0.6061000000000001,2.0
tomato,01,1084618528,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152219_536740.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034055_308452.txt,1,1,6.0,-10.0,-2.0021,3.0
tomato,01,1201029111,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152142_777210.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_033957_178886.txt,1,1,9.0,-2.0,-0.5499999999999999,0.0
tomato,01,1233339309,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152205_032923.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034040_693549.txt,1,1,7.0,-4.0,-0.6603000000000001,7.0
tomato,01,1273020582,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152136_161670.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_033945_992740.txt,1,1,7.0,-3.0,-0.817,2.0
tomato,01,1649478604,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152202_503367.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034037_128811.txt,1,1,10.0,-7.0,-1.5328,1.0
tomato,01,1911303750,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152140_200484.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_033953_431542.txt,1,1,7.0,-8.0,-1.6148,3.0
tomato,01,2027029533,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152153_268323.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034018_396531.txt,1,1,1.0,-14.0,-2.8697999999999997,5.0
tomato,01,2030859206,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152133_865678.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_033941_691095.txt,1,1,5.0,-2.0,-0.48119999999999985,6.0
tomato,01,217537032,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152159_167275.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034028_911500.txt,1,1,12.0,-7.0,-1.8007,1.0
tomato,01,2204152357,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152203_742842.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034038_749350.txt,1,0,8.0,1.0,-0.3860000000000001,21.0
tomato,01,2222960263,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152134_999457.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_033944_016637.txt,1,1,6.0,-4.0,-1.1928999999999998,2.0
tomato,01,2508123787,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152145_219951.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034000_039833.txt,1,0,7.0,9.0,0.6641999999999999,30.0
tomato,01,2607182153,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152223_064617.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034102_839599.txt,1,0,9.0,-10.0,-1.9869,11.0
tomato,01,2698243041,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152138_926209.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_033950_549905.txt,1,1,10.0,-2.0,-0.8330999999999997,1.0
tomato,01,2741500852,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152146_608731.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034001_959567.txt,1,1,9.0,-1.0,-0.5322,1.0
tomato,01,3008854274,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152225_828593.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034108_674142.txt,1,0,9.0,-1.0,-0.29180000000000006,11.0
tomato,01,3049697230,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152150_749084.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034011_156699.txt,1,1,6.0,-2.0,-0.5942000000000001,1.0
tomato,01,311025495,ours,query_action_pomcp,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260919_152156_809275.txt,experiments_logs/analysis_recent/query_baselines_current_20260920/00_raw/tomato/scene_01_step50/query_as_action/exp_tomato_20260920_034024_900286.txt,1,1,8.0,-2.0,-0.6823999999999999,1.0
