domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,01,1121448669,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185451_002032.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185447_579436.txt,1,1,-8.0,0.0,-0.028200000000000003,0.0
tomato,01,1342751743,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185627_538539.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185623_576373.txt,1,1,-8.0,0.0,0.0015000000000000568,0.0
tomato,01,1497252076,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185500_010384.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185456_490633.txt,1,1,-1.0,0.0,0.01969999999999994,0.0
tomato,01,1621659147,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185433_676944.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185429_695657.txt,1,1,-4.0,0.0,-0.02849999999999997,0.0
tomato,01,1670682685,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185606_043089.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185602_207814.txt,1,1,4.0,0.0,-0.013500000000000068,0.0
tomato,01,1671426344,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185600_915369.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185557_037816.txt,1,1,3.0,0.0,0.0027000000000001467,0.0
tomato,01,1982835210,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185455_375765.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185452_079939.txt,1,1,-1.0,0.0,0.03500000000000003,0.0
tomato,01,2227324014,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185704_647557.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185701_383672.txt,1,0,7.0,6.0,0.7197,20.0
tomato,01,2288196031,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185504_568253.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185501_154863.txt,1,1,-1.0,0.0,-0.009699999999999931,0.0
tomato,01,2372245970,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185514_370736.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185510_435602.txt,1,1,4.0,0.0,0.04709999999999992,0.0
tomato,01,2375471847,ours,random,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_ours_thres_0-8_rand_0-4/exp_tomato_20260922_185533_093918.txt,experiments_logs/analysis_recent/when_what_original_20260912/00_raw/tomato/scene_01_step50/when_what_random_thres_0-8_rand_0-4/exp_tomato_20260922_185529_201365.txt,1,0,7.0,0.0,0.03059999999999996,10.0
